distancia do trajeto em KM: 3.062
-----------------------------------MELHOR TRAJETO---------------------------------------------------
-25.4133732 -49.2297243
-25.4109815 -49.2239341
-25.4103917 -49.2224973
-25.4122273 -49.2215604
-25.4147447 -49.2203396
-25.4136342 -49.21745
-25.4092788 -49.2181499
-25.4077847 -49.21904139999999
-25.4076722 -49.2190199
-25.4072858 -49.2189462
-25.3952877 -49.21166059999999
-25.3891195 -49.1877651
-25.3682482 -49.1070806
-25.2976821 -48.93916309999999
-24.0061544 -47.1588904
-23.8561606 -46.9408483
-23.6370874 -46.83338690000001
-23.6270744 -46.8294012
-23.5221091 -46.8161372
-23.516488 -46.79201450000001
-23.5196624 -46.783964
-23.520042 -46.7805792
-23.5225511 -46.764616
-23.5215289 -46.7468751
-23.5183768 -46.7326326
-23.5165521 -46.728456
-23.5158138 -46.7273407
-23.5192876 -46.6324484
-23.5299482 -46.5943805
-23.5285632 -46.5902226
-23.5273037 -46.5892199
-23.524707 -46.5869943
-23.5091315 -46.5725025
-23.5045896 -46.567926
-23.5017777 -46.5640774
-23.497961 -46.55938769999999
-23.4089752 -46.5809011
-23.3429126 -46.5732979
-23.2562738 -46.5924142
-19.9992486 -44.2106736
-19.9971681 -44.2090444
-19.9906307 -44.205875
-19.9645391 -44.1719375
-19.9627192 -44.16507319999999
-19.9577603 -44.1500785
-19.9543863 -44.1501336
-19.9524714 -44.1522197
-19.9406695 -44.14625239999999
-19.9282802 -44.133751
-19.9180501 -44.0557963
-19.9070482 -44.0493588
-19.9033276 -44.0496109
-19.9028885 -44.0487769
-19.9025687 -44.0481013
-19.9021379 -44.0491421
-19.4134018 -44.3382096
-19.3636872 -44.3394853
-19.3032698 -44.3763131
-19.3012455 -44.3768616
-19.1224468 -44.32274950000001
-19.1174703 -44.3222471
-19.1169419 -44.3227328
-18.7706259 -44.4297403
-18.7529766 -44.41789139999999
-18.7516971 -44.4173655
-18.7464609 -44.4124395
-18.4163208 -43.68961050000001
-18.2398189 -43.6128741
-18.2298595 -43.6065462
-18.2295605 -43.6063556
-18.2292779 -43.606328
-17.270982 -42.91059509999999
-17.0422121 -42.7032366
-16.8260517 -42.6404678
-16.821321 -42.63737220000001
-16.7911539 -42.5556468
-16.7689406 -42.3855588
-16.7683278 -42.3845554
-16.8121589 -42.3566344
-16.8484418 -42.0665096
-16.5766607 -41.5039136
-16.5766628 -41.5037416
-16.5576588 -41.50226809999999
-15.5054985 -41.2352687
-15.5054531 -41.23516619999999
-15.5052575 -41.2352666
-14.8471377 -40.84799640000001
-14.8291348 -40.8293528
-14.5254531 -40.3780927
-14.5251748 -40.3778244
-14.1525624 -40.2466956
-14.1435582 -40.241819
-13.8514125 -40.1141419
-13.0150915 -39.9586573
-13.0129901 -39.9580827
-12.9835367 -39.9424013
-12.4483489 -39.2462201
-12.448171 -39.2463212
-12.4464355 -39.24305200000001
-12.4465563 -39.243072
-12.4470065 -39.2429306
-12.4815184 -39.2015384
-12.4730274 -39.1898227
-12.4632806 -39.1937454
-12.4418597 -39.2323118
-12.4413968 -39.2321932
-12.2684877 -38.9877837
-12.2679063 -38.9863925
-12.2680641 -38.9869982
-12.2308261 -38.9646338
-12.2274825 -38.9646755
-11.4891249 -38.9975434
-11.4889501 -38.9973777
-11.4887761 -38.9975721
-10.9875611 -38.8010255
-10.9871743 -38.8005447
-10.81563 -38.53001769999999
-9.3962577 -38.1691018
-9.1938379 -37.5151023
-8.8744582 -36.4699229
-8.3308304 -36.1477885
-8.3308015 -36.1444292
-8.0661278 -34.9405387
-8.067590899999999 -34.941452
-8.060467899999999 -34.9455727
-8.058339 -34.946107
-8.035929 -34.9413507
-8.0350518 -34.9413544
-8.036715899999999 -34.9353347
-8.0355029 -34.9350473
